autobotdescmgr.1	Combat EXP Bonus +{0}%
itemoptionset.1	Spirit 
itemqualitymgr.1	Talent Bonus: 
itemqualitymgr.2	Grandmaster craft bonus : 
itemupgradedesc.1	(Not Found)
mabiauctionmgr.1	Listed
mabiauctionmgr.2	Sold
mabiauctionmgr.3	Not sold
mabiauctionmgr.4	Being Bid On
mabiauctionmgr.5	Re-Bid Required
mabiauctionmgr.6	Purchase Failed
mabiauctionmgr.7	Purchase Succeeded
mabinogi_commerce.1	Failed to trade Mercantile Goods. (0)
mabinogi_commerce.2	Your Merchant Rating is not high enough at this Trading Post.
mabinogi_commerce.3	Insufficient Ducats.
mabinogi_commerce.4	The sale price has changed.
mabinogi_commerce.5	Failed to trade Trade Goods. (1)
mabinogi_commerce.6	This Trade Good cannot be purchased at this Trading Post.
mabinogi_commerce.7	You don't have enough Trade Goods.
mabinogi_commerce.8	Insufficient Trade Goods.
mabinogi_commerce.9	Price info has been refreshed. Please check again before continuing.
mabinogi_commerce.10	That cannot be sold at this Trading Post.
mabinogi_commerce.11	Trade cannot be made.
mabinogi_commerce.12	Insufficient weight capacity.
mabinogi_commerce.13	You don't have a transport method.
mabinogi_commerce.14	Failed to trade Trade Goods. (2)
mabinogi_commerce.15	The Trade Goods are too far away from the Trading Post.
mabinogi_commerce.16	Failed to trade Trade Goods. (11)
mabinogi_commerce.17	Insufficient Slots.
mabinogi_commerce.18	Unable to read transport method info.
mabinogi_commerce.19	You can use this transport mount after\npaying a fee in Ducats. See the\nTransport Helper to learn more.
mabinogi_commerce.20	The current transport method cannot handle\nthe weight of the current Trade Goods.
mabinogi_commerce.21	The current transport method does not have\nenough slots to hold the Trade Goods.
mabinogi_commerce.22	Failed to trade Trade Goods. (12)
mabinogi_commerce.23	Commerce functions cannot be used for now.
mabinogi_commerce.24	Failed to trade Trade Goods. (99)
mabinogi_commerce.25	You don't have enough trade goods.
mabinogi_commerce.26	This Trade Good cannot be exchanged.
mabinogi_commerce.27	This Transport Mount can only be used while the Commerce Partner is summoned.\nPlease choose a different Transport Mount.
mabinogi_commerce.28	This Transport Mount can only be used while the Alpaca is summoned.\nPlease choose a different Transport Mount.
mabinogi_commerce.29	This partner cannot use the Transport Mount.\nPlease choose a different Transport Mount.
mabinogi_commerce.30	This Transport Mount can only be used during the event.\nPlease choose a different Transport Mount.
mabinogi_commerce.31	You don't have enough Seasonal Ducats.
mabinogi_commerce.32	You can use this transport mount after\npaying a fee in Seasonal Ducats. See the\nTransport Helper to learn more.
mabinogi_commerce.33	{0} {1}
mabinogi_commerce.34	AM
mabinogi_commerce.35	PM
mabinogi_commerce.36	You cannot purchase items because your merchant group is currently trading.
mabinogi_commerce.37	Smuggling could not be completed because your Town Merchant Rating is too low.
mabinogi_commerce.38	Cannot summon an airship to a place where it couldn't land.
mabinogi_commerce.39	Cannot purchase Merchant Group Barter Goods with only 1 party member.
mabinogi_commerce.40	Cannot purchase personal Barter Goods when you're in a Merchant Group Party.
mabinogi_commerce.41	Cannot purchase because you're not in a merchant group party.
mabinogi_etcconstants.1	Beginner
mabinogi_etcconstants.2	Intermediate
mabinogi_etcconstants.3	Advanced
mabinogi_fieldquest.1	This is a Quest Zone that you already entered.
mabinogi_fieldquest.2	Character cannot be found. Please try again.
mabinogi_fieldquest.3	Incorrect location.
mabinogi_fieldquest.4	Unable to find Quest Zone.
mabinogi_fieldquest.5	Failed to enter Quest Zone.
mabinogi_fieldquest.6	Unable to select.
mabinogi_gameword.1	Poison - Immunity - Set Effect Value
mabinogi_gameword.2	Petrification - Immunity - Set Effect Value
mabinogi_gameword.3	Lessen Mana Usage
mabinogi_gameword.4	Lessen Stamina Usage
mabinogi_gameword.5	Explosion Defense
mabinogi_gameword.6	Stomp - Resistance - Set Effect Value
mabinogi_gameword.7	Fire Alchemic Damage
mabinogi_gameword.8	Earth Alchemic Damage
mabinogi_gameword.9	Wind Alchemic Damage
mabinogi_gameword.10	Water Alchemic Damage
mabinogi_gameword.11	Synthesis Success Rate
mabinogi_gameword.12	Fragmentation Success Rate
mabinogi_gameword.13	Crystal Making Success Rate
mabinogi_gameword.14	Magic Defense
mabinogi_gameword.15	Magic Attack
mabinogi_gameword.16	Attack Speed Increase - Set Effect Value
mabinogi_gameword.17	Cumulative Level
mabinogi_gameword.18	Auto Melee Defense
mabinogi_gameword.19	Auto Magic Defense
mabinogi_gameword.20	Auto Ranged Defense
mabinogi_gameword.21	Gathering Speed
mabinogi_gameword.22	Collection Probability
mabinogi_gameword.23	Collection Quantity
mabinogi_gameword.24	Casting Speed
mabinogi_gameword.25	Movement Speed
mabinogi_gameword.26	Transport Speed
mabinogi_gameword.27	Act 2: Threshold Cutter Damage Boost
mabinogi_gameword.28	Marionette Min Damage
mabinogi_gameword.29	Marionette - Max Damage
mabinogi_gameword.30	Marionette Max HP
mabinogi_gameword.31	Marionette Defense
mabinogi_gameword.32	Marionette Protection
mabinogi_gameword.33	Marionette Magic Defense
mabinogi_gameword.34	Control Marionette Min Damage
mabinogi_gameword.35	Control Marionette - Max Damage Increase
mabinogi_gameword.36	Control Marionette Critical Rate
mabinogi_gameword.37	Control Marionette Balance
mabinogi_gameword.38	Inciting Incident Stun Time
mabinogi_gameword.39	Rising Action Damage
mabinogi_gameword.40	Crisis Range
mabinogi_gameword.41	Climactic Crash Damage
mabinogi_gameword.42	Act 2: Threshold Cutter 3 Hit Damage
mabinogi_gameword.43	Quality
mabinogi_gameword.44	Alchemy success rate increased
mabinogi_gameword.45	Dual Gun Min Damage
mabinogi_gameword.46	Dual Gun - Max Damage
mabinogi_gameword.47	Max Ammo Reserve Increase
mabinogi_gameword.48	Magic Protection
mabinogi_gameword.49	Magic Defense
mabinogi_gameword.50	Magic Protection
mabinogi_gameword.51	Shuriken Min Damage
mabinogi_gameword.52	Shuriken - Max Damage
mabinogi_gameword.53	Chain Blade Min Damage
mabinogi_gameword.54	Chain Blade - Max Damage
mabinogi_gameword.55	Music Buff Duration
mabinogi_gameword.56	Knuckle Min Damage
mabinogi_gameword.57	Knuckle - Max Damage
mabinogi_gameword.58	Total Alchemic Element Damage
mabinogi_item.1	I'm a super n00b and proud of it!
mabinogi_itemforjob.1	Change to {0}
mabinogi_itemforjob.2	{0} Increase
mabinogi_itemforjob.3	{0} Decrease
mabinogi_itemforjob.4	{0}% Increase
mabinogi_itemforjob.5	{0}% Decrease
mabinogi_job.1	Adventurer
mabinogi_job.2	Warrior
mabinogi_job.3	Mage
mabinogi_job.4	Ranger
mabinogi_job.5	Merchant
mabinogi_job.6	Alchemist
mabinogi_job.7	Fighter
mabinogi_job.8	Bard
mabinogi_job.9	Puppeteer
mabinogi_job.10	Gunslinger
mabinogi_minigame.1	Mafia
mabinogi_minigame.2	Citizen
mabinogi_minigame.3	Cop
mabinogi_minigame.4	Prankster
mabinogi_minigame.5	Psychic
mabinogi_minigame.6	Doctor
mabinogi_minigame.7	Spectator
mabinogi_minigame.8	Normal
mabinogi_minigame.9	Offline
mabinogi_minigame.10	Dead
mabinogi_minigame.11	Ready
mabinogi_minigame.12	Vote Complete
mabinogi_party.1	Mafia
mabinogi_party.2	Other
mabinogi_pfhousing.1	- Gold: {0} Gold\n
mabinogi_pfhousing.2	- {0}: x{1}\n
mabinogi_privatefarmdesc.1	{0} {1}
mabinogi_privatefarmdesc.2	{0} Homestead Stone(s)
mabinogi_privatefarmdesc.3	{0} Pon Coin(s)
mabinogi_privatefarmdesc.4	, {0} Homestead Stone Fragment(s)
mabinogi_privatefarmdesc.5	Strength
mabinogi_privatefarmdesc.6	Dexterity
mabinogi_privatefarmdesc.7	Intelligence
mabinogi_privatefarmdesc.8	Will
mabinogi_privatefarmdesc.9	Luck
mabinogi_privatefarmdesc.10	HP
mabinogi_privatefarmdesc.11	MP
mabinogi_privatefarmdesc.12	Stamina
mabinogi_privatefarmdesc.13	Max Damage
mabinogi_privatefarmdesc.14	Critical Damage
mabinogi_privatefarmdesc.15	Music Buff Effect
mabinogi_privatefarmdesc.16	Magic Attack
mabinogi_privatefarmdesc.17	Bonus Damage
mabinogi_privatefarmdesc.18	Defense
mabinogi_privatefarmdesc.19	Magic Defense
mabinogi_privatefarmdesc.20	Protection
mabinogi_privatefarmdesc.21	Magic Protection
mabinogi_privatefarmdesc.22	Combat EXP Increase
mabinogi_privatefarmdesc.23	Movement Speed
mabinogi_propentity.1	프랍 ClassID를 바꾸려 합니다. objectID: %d 이전 ClassID: %d 바뀌는 ClassID: %d
mabinogi_shadowmissiondesc.1	Basic
mabinogi_shadowmissiondesc.2	Int.
mabinogi_shadowmissiondesc.3	Adv.
mabinogi_shadowmissiondesc.4	Hard
mabinogi_shadowmissiondesc.5	{0} Person(s)
mabinogi_shadowmissiondesc.6	{0}+
mabinogi_shadowmissiondesc.7	{0) Hour(s) {1) Minute(s) {2} Second(s)
mabinogi_shadowmissiondesc.8	{0} Hour(s) {1} Minute(s)
mabinogi_shadowmissiondesc.9	{0} Hour(s) {1} Second(s)
mabinogi_shadowmissiondesc.10	{0} Minute(s) {1} Second(s)
mabinogi_shadowmissiondesc.11	{0} Hour(s)
mabinogi_shadowmissiondesc.12	{0} Minute(s)
mabinogi_shadowmissiondesc.13	{0} Second(s)
mabinogi_shadowmissiondesc.14	None
mabinogi_shadowmissiondesc.15	Mission Completion Reward
mabinogi_shadowmissiondesc.16	Party Count:
mabinogi_shadowmissiondesc.17	Required Level:
mabinogi_shadowmissiondesc.18	Time Limit:
mabinogi_shadowmissiondesc.19	Any#
mabinogi_shadowmissiondesc.20	{0}
mabinogi_shadowmissiondesc.21	{0} - {1:Unrestricted}
mabinogi_shadowmissiondesc.22	{0} - {1}
mabinogi_shadowmissiondesc.23	Elite
mabinogi_shadowmissiondesc.24	Lord
mabinogi_shadowmissiondesc.25	Talent Level:
mabinogi_talent.1	Adventure
mabinogi_talent.2	Close Combat
mabinogi_talent.3	Magic
mabinogi_talent.4	Archery
mabinogi_talent.5	Mercantile
mabinogi_talent.6	Battle Alchemy
mabinogi_talent.7	Martial Arts
mabinogi_talent.8	Music
mabinogi_talent.9	Puppetry
mabinogi_talent.10	Lance Combat
mabinogi_talent.11	Holy Arts
mabinogi_talent.12	Transmutation
mabinogi_talent.13	Cooking
mabinogi_talent.14	Smithing
mabinogi_talent.15	Tailoring
mabinogi_talent.16	Medicine
mabinogi_talent.17	Carpentry
mabinogi_talent.18	Gunslinger
mabinogi_talent.19	Ninja
mabinogi_talent.20	Merlin
mabinogi_talent.21	Starlet
mabinogi_talent.22	Professor J
mabinogi_talent.23	Culinary Artist
mabinogi_talent.24	Treasure Hunter
mabinogi_talent.25	Novice
mabinogi_talent.26	Chain Slash
mabinogi_talent.27	Pet Training
mabinogi_talent.28	Glyphwright
mabinovelmgr.1	Mysterious Detective
mastersordereventdescmgr.1	The event is not currently in progress.
mastersordereventdescmgr.2	You do not have the required item.
mastersordereventdescmgr.3	You already received the reward.
mastersordereventdescmgr.4	The data for the pertinent Talent does not exist.
mastersordereventdescmgr.5	Your Talent level is too low.
mastersordereventdescmgr.6	Failed to claim the reward for the previous level of the Talent.
mastersordereventdescmgr.7	The data for the pertinent Talent level does not exist.
mastersordereventdescmgr.8	The event is not currently in progress.
mastersordereventdescmgr.9	You do not have the required item.
msg.afternoon_string	afternoon
msg.camp.already_have	A camp already exists. Only one camp can be set up at a time.
msg.camp.collide_with_char	There is a character within the camp range.
msg.camp.collide_with_guildstone	There is a Guild Stone within the camp range.
msg.camp.collide_with_item	There is an item within the camp range.
msg.camp.insufficient_campfire_skill	The campfire skill must be higher than the practice rank.
msg.camp.invalid_position	The location is not suitable for camp.
msg.camp.invalid_position_msg	The location is not suitable for camp.\nA camp can be set up outside the town or somewhere off the road.
msg.camp.near_other_camp	Too close to another camp.\nPlease set up the camp a little bit farther from here.
msg.camp.not_have_campfire_skill	Cannot be used without the Campfire skill.
msg.camp.not_in_inner	A camp cannot be set up indoors, inside a dungeon or an arena.
msg.camp.outter	<mini> </mini> Out
msg.camp.pet_cannot_use	Pets cannot use a Camping Kit.
msg.camp.too_narrow	This place is too small for a camp.
msg.camp.unable_in_using_skill	Unable to use a camp while using a skill.
msg.cannot_explore_now	Please try again a little later.
msg.dawn_string	The Dawn
msg.dayntime	{0:day} {1:time}
msg.dungeon_exit_notice_msg	Are you sure you want to leave the dungeon?
msg.dungeon_exit_notice_title	Warning
msg.equal	When {0} is {1}
msg.forenoon_string	morning
msg.greater_or_equal	When {0} is over {1}
msg.greaterthan	When {0} is bigger than {1}
msg.insufficient_mana_to_useskill	Unable to use the skill. Insufficient MP.
msg.insufficient_stamina_to_useskill	Unable to use the skill. Insufficient Stamina.
msg.less	When {0} is smaller than {1}
msg.less_or_equal	When {0} is below {1}
msg.night_string	night
msg.ps_shop.too_close_another	Too close to a Personal Shop.
msg.ruin_dungeon_exit_notice_msg	Would you like to return to the dungeon waiting room?
msg.ruin_dungeon_exit_notice_title	Warning
msg.skill_rank_bonus	Skill Rank Bonus: 
msg.skilllevel_equal	When the rank of {0} is {1}
msg.skilllevel_greather_or_equal	When the rank of {0} is over {1}
msg.skilllevel_less_or_equal	When the rank of {0} is below {1}
msg.thedayaftertomorrow_string	the day after tomorrow
msg.time_after_1	{0} day(s) {1} hour(s) {2} min
msg.time_after_2	{0} day(s) {1} hour(s)
msg.time_after_3	{0} day(s) {1} min
msg.time_after_4	{0} day(s)
msg.time_after_5	{0} hour(s) {1} min
msg.time_after_6	{0} hour(s)
msg.time_after_7	{0} min
msg.today_string	Today
msg.tomorrow_string	Tomorrow
msg.untrain_notice	The {0} skill has been untrained.\n
msg.untrain_result_decrase	\n{0} - {1}
msg.untrain_result_increase	\n{0} + {1}
msg.untrain_result_notice	The effects of untraining are as follows.\n
msg.untrain_reward_ap	\nAbility Point +{0}
msg.useitemresurrection_remote_failed	You have either entered an incorrect name, or the character is not knocked unconscious.
msg.wand_mana_dried_out	The Mana connected to the Wand has disappeared!!
myknightsdescmgr.1	DIV
myknightsdescmgr.2	STR
myknightsdescmgr.3	INT
myknightsdescmgr.4	DEX
myknightsdescmgr.5	WILL
myknightsdescmgr.6	LUCK
myknightsdescmgr.7	Apostle
myknightsdescmgr.8	Regular Monster
myknightsdescmgr.9	History
myknightsdescmgr.10	Object
myknightsdescmgr.11	Prophet
myknightsdescmgr.12	Char.
myknightsdescmgr.13	Complete
myknightsdescmgr.14	{0}D 
myknightsdescmgr.15	{0}H 
myknightsdescmgr.16	 needed
myknightsdescmgr.17	 ({0} real)
myknightsdescmgr.18	This squire does not exist.
myknightsdescmgr.19	The squire cannot attempt the mission at this time.
myknightsdescmgr.20	The squire refused the mission because their stress level is too high.
myknightsdescmgr.21	This mission is invalid.
myknightsdescmgr.22	Your Command Level is too low for this mission.
myknightsdescmgr.23	Mission quest already exists.
myknightsdescmgr.24	Mission cannot be created.
myknightsdescmgr.25	Mission cannot be added.
myknightsdescmgr.26	This mission cannot be repeated.
myknightsdescmgr.27	Your Command Level is too low for this mission.
myknightsdescmgr.28	You do not have the keyword for the mission.
myknightsdescmgr.29	This squire cannot attempt this mission.
myknightsdescmgr.30	There is no member required for you to recruit.
myknightsdescmgr.31	Likeability is too low for the mission.
myknightsdescmgr.32	Success Rate is too low for the mission.
object.bank_defaultname	Bank
object.character_dump_server	Harp
object.item_blessed	Blessed
object.item_incompleted	(Incomplete)
object.item_option_addcondition_onattack	Add {1} to attacks with {0}% chance
object.item_option_decrease	{0} {1} Decrease
object.item_option_decrease_percent	{0} {1}% Decrease
object.item_option_increase	{0} {1} Increase
object.item_option_increase_percent	{0} {1}% Increase
object.item_option_set_permil	Change {0} to the current {1}%
object.item_option_set_to	Fix {0} at {1}
object.manual_level	\n\nDifficulty: {0}
object.manual_level_training	\n\nDifficulty: Practice
object.moongate_desc	{1} Moon Gate\nthat leads to {0}
object.moongate_name	{0} Moon Gate
object.moongate_name_2	{0} Moon Gate
object.pet_name	{0}'s {1}
object.sealbreaker_and_sealname	{1} broken by {0}
object.sealstone_bangor	Seal Stone of Bangor
object.sealstone_ciar	Seal Stone of Ciar Dungeon
object.sealstone_dugald	Seal Stone of Dugald Aisle
object.sealstone_fiodh	Seal Stone of Fiodh
object.sealstone_math	Seal Stone of Math Dungeon
object.sealstone_rabbie	Seal Stone of Rabbie Dungeon
partyboarddescmgr.1	Mini-game
partyboardmgr.1	Practice Rank
partyboardmgr.2	Unrestricted
partyboardmgr.3	Min. Cumulative Level {0}
partyboardmgr.4	 Minimum {0} {1}
partyboardmgr.5	Private
partyboardmgr.6	Public
partyboardmgr.7	General
partyboardmgr.8	Dungeon
partyboardmgr.9	Arena
partyboardmgr.10	Ensemble
partyboardmgr.11	View All
partyboardmgr.12	Unrestricted
partyboardmgr.13	Unrestricted
partyboardmgr.14	Unrestricted
partyboardmgr.15	Unrestricted
partyboardmgr.16	Unrestricted
partyboardmgr.17	Unrestricted
partyboardmgr.18	Rank {0}
partyboardmgr.19	Rank {0}
partyboardmgr.20	Squad Party
pccarddescmgr.1	HP
pccarddescmgr.2	MP
pccarddescmgr.3	Stamina
pccarddescmgr.4	Strength
pccarddescmgr.5	Intelligence
pccarddescmgr.6	Dexterity
pccarddescmgr.7	Will
pccarddescmgr.8	Luck
pccarddescmgr.9	{0:Stat} -{1:Amount}
pccarddescmgr.10	{0:Stat} +{1:Amount}
pccarddescmgr.11	{0:Stat} x1/{1:Amount}
pccarddescmgr.12	{0:Stat} x{1:Amount}
pccarddescmgr.13	{0:Character Card Name} Bonus\n\n{1:Bonus Amount List}
privatefarmdescmgr.1	<color={0}>{1} Set Effect\n
privatefarmdescmgr.2	<color=3>Decoration Set</color>\n
privatefarmdescmgr.3	Increase\n
questresult.1	Royal Alchemist Activity Points {0}
questresult.2	Ducats {0}
questresult.3	Crusader EXP {0}
questresult.4	Command EXP {0}
questresult.5	Training Points {0}
questresult.6	Mission Points {0}
questresult.7	Seasonal Ducats {0}
questresult.8	(Growth Support Potion Bonus)
recommendflagtable.1	EXP +{0}
recommendflagtable.2	{0} - A recommender will receive {1} Recommendation EXP.
setitemmgr.1	Increase
setitemmgr.2	Decrease
setitemmgr.3	Increase
setitemmgr.4	Decrease
setitemmgr.5	The item was not used since the set effect cannot be upgraded.
setitemmgr.6	The item was not used since the set effect is already {0}.
setparameter.1	{0} Degree
setparameter.2	{0} Second(s)
setparameter.3	{0} {1} Reforge
setparameter.4	Reforging can be used without shields for a charging human or elf.
setparameter.5	Specific Skill {0} Reforge
setparameter.6	EXP
setparameter.7	{0} {1} Level
setparameter.8	Allows a human or elf to use Charge without a shield.
setparameter.9	Specific Skill {0} Level
setparameter.10	{0} Level {1} \n({2} {3})
setparameter.11	Cooldown
setparameter.12	{0}\n(Level {1}/{2})
setparameter.13	{0}\n(Level {1}/{2}: {3} {4})
setparameter.14	{0}\n(Level {1}/{2})
setparameter.15	{0}\n(Level {1}/{2}: {3} {4})
setparameter.16	{0}(Level {1})
setparameter.17	{0}(Level {1}:{2} {3})
setparameter.18	{0} Level {1}
shapeshiftdescmgr.1	No Bonus
shapeshiftdescmgr.2	HP
shapeshiftdescmgr.3	MP
shapeshiftdescmgr.4	Stamina
shapeshiftdescmgr.5	STR
shapeshiftdescmgr.6	INT
shapeshiftdescmgr.7	DEX
shapeshiftdescmgr.8	Will
shapeshiftdescmgr.9	Luck
shapeshiftdescmgr.10	Min Attack Power
shapeshiftdescmgr.11	Max Attack Power
shapeshiftdescmgr.12	Defense
shapeshiftdescmgr.13	Protection
shapeshiftdescmgr.14	<color=4>{0:Bonus Type}</color>  <color=5>+{1:Bonus Value}</color>
shapeshiftdescmgr.15	<color=4>{0:Bonus Type}</color>  <color=5>+{1:Bonus Value}%</color>
shapeshiftdescmgr.16	Magic Defense
shapeshiftdescmgr.17	Magic Protection
skillpromotiondescmgr.1	You don't have the participation fee.
skillpromotiondescmgr.2	You can't take the test anymore for today.
skillpromotiondescmgr.3	This skill cannot be advanced.
skillpromotiondescmgr.4	It cannot be advanced at this level.
specializationdescmgr.1	Briogh of Achievement
specializationdescmgr.2	Briogh of Challenge
specializationdescmgr.3	Briogh of Discipline
specializationrequirement.1	HP
specializationrequirement.2	MP
specializationrequirement.3	Stamina
specializationrequirement.4	Strength
specializationrequirement.5	Intelligence
specializationrequirement.6	Dexterity
specializationrequirement.7	Will
specializationrequirement.8	Luck
specializationrequirement.9	Max Damage
specializationrequirement.10	Min Damage
specializationrequirement.11	Magic Attack
specializationrequirement.12	Defense
specializationrequirement.13	Protection
specializationrequirement.14	Magic Defense
specializationrequirement.15	Magic Protection
specializationrequirement.16	Armor Pierce
specializationrequirement.17	Heavy Armor
specializationrequirement.18	Light Armor
specializationrequirement.19	{0} or {1}
specializationrequirement.20	{0} or {1}
specializationrequirement.21	{0} or {1}
synthesismgr.1	(dev) %s Random Prior [ %f ]
synthesismgr.2	Random After [ %f ]
synthesismgr.3	(dev) {0} Random Prior [ {1} ]
synthesismgr.4	Random After [ {0} ]
talentdescmgr.1	Fledgling
talentdescmgr.2	Novice
talentdescmgr.3	Amateur
talentdescmgr.4	Green
talentdescmgr.5	Naive
talentdescmgr.6	Apprentice
talentdescmgr.7	Senior
talentdescmgr.8	Advanced
talentdescmgr.9	Seasoned
talentdescmgr.10	Skilled
talentdescmgr.11	Expert
talentdescmgr.12	Great
talentdescmgr.13	Champion
talentdescmgr.14	Wise
talentdescmgr.15	Master
talentdescmgr.16	Grandmaster
usercreatedtotemdescmgr.1	STR
usercreatedtotemdescmgr.2	DEF
usercreatedtotemdescmgr.3	HP
usercreatedtotemdescmgr.4	Will
usercreatedtotemdescmgr.5	Stamina
usercreatedtotemdescmgr.6	Luck
usercreatedtotemdescmgr.7	Max Damage
usercreatedtotemdescmgr.8	Critical Damage
usercreatedtotemdescmgr.9	Balance
usercreatedtotemdescmgr.10	INT
usercreatedtotemdescmgr.11	DEX
usercreatedtotemdescmgr.12	Critical
usercreatedtotemdescmgr.13	MP
usercreatedtotemdescmgr.14	Magic Defense
usercreatedtotemdescmgr.15	Magic Attack
usercreatedtotemdescmgr.16	Rune of Body
usercreatedtotemdescmgr.17	Rune of Mind
usercreatedtotemdescmgr.18	Rune of Sharpness
usercreatedtotemdescmgr.19	Rune of Ingenuity
usercreatedtotemdescmgr.20	Rune of Mana
usercreatedtotemdescmgr.21	Max HP
usercreatedtotemdescmgr.22	Max Stamina
usercreatedtotemdescmgr.23	Max MP
usercreatedtotemdescmgr.24	Max Damage
usercreatedtotemdescmgr.25	Min Damage
usercreatedtotemdescmgr.26	Max Injury Rate
usercreatedtotemdescmgr.27	Min Injury Rate
usercreatedtotemdescmgr.28	Phantasmal Sight Damage
usercreatedtotemdescmgr.29	Fateweaver Duration
usercreatedtotemdescmgr.30	Tenacious Taunt Duration
usercreatedtotemdescmgr.31	Zone of Renewal Effect Range
usercreatedtotemdescmgr.32	Unified Might Damage Accumulation
usercreatedtotemdescmgr.33	Phantasmal Sight Rune
usercreatedtotemdescmgr.34	Fateweaver Rune
usercreatedtotemdescmgr.35	Tenacious Taunt Rune
usercreatedtotemdescmgr.36	Zone of Renewal Rune
usercreatedtotemdescmgr.37	Unified Might Rune
usercreatedtotemdescmgr.38	sec
usercreatedtotemelement.1	Lv. {0}: {1} + {2}
